2026-01-30 10:11:37,644 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_1
2026-01-30 10:11:37,644 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_1
2026-01-30 10:11:37,644 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_2
2026-01-30 10:11:37,644 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 10:11:42,649 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
2026-01-30 10:11:52,655 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 3 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 20.0s...
2026-01-30 10:12:12,660 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_EXHAUSTED | Retry: 4 | Circuit: CLOSED | Details: Max retries (3) exceeded.
2026-01-30 10:12:12,663 - AppLogger - INFO - Service: ElevenLabs | Event: FAILURE_COUNT | Retry: 0 | Circuit: CLOSED | Details: 1/3
2026-01-30 10:12:12,663 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_2 due to error: 503 Service Unavailable
2026-01-30 10:12:13,665 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_3
2026-01-30 10:12:13,667 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 10:12:18,672 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
